adapt_UBM,delta,emo_rank,enrm_threshold,n_components,n_static,score_norm,spk_norm,test,test_std,train,train_std,tv_rank,utt_norm
True,Delta.sdc,3,-1000,128,40,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,40,NormalizationMethod.none,NormalizationMethod.none,0.864864864864865,0.028666491129184,1,0,90,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,40,NormalizationMethod.none,NormalizationMethod.none,0.861486486486486,0.019986756023985,0.998873873873874,0.001950507666181,100,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,50,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,50,NormalizationMethod.none,NormalizationMethod.none,0.864864864864865,0.028666491129184,1,0,90,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,50,NormalizationMethod.none,NormalizationMethod.none,0.861486486486486,0.019986756023985,0.998873873873874,0.001950507666181,100,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,60,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,60,NormalizationMethod.none,NormalizationMethod.none,0.864864864864865,0.028666491129184,1,0,90,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,60,NormalizationMethod.none,NormalizationMethod.none,0.861486486486486,0.019986756023985,0.998873873873874,0.001950507666181,100,NormalizationMethod.cmvn
False,Delta.sdc,3,-1000,128,40,NormalizationMethod.none,NormalizationMethod.cmvn,0.871621621621622,0.033783783783784,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,40,NormalizationMethod.none,NormalizationMethod.cmvn,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,5,NormalizationMethod.none,NormalizationMethod.none,0.831081081081081,0.015108567415539,0.997747747747748,0.002252252252252,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,10,NormalizationMethod.none,NormalizationMethod.none,0.820945945945946,0.036229071941769,0.998873873873874,0.001950507666181,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,17,NormalizationMethod.none,NormalizationMethod.none,0.844594594594594,0.015108567415539,0.998873873873874,0.001950507666181,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,25,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,40,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,50,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,70,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
True,Delta.sdc,0,-1000,128,40,NormalizationMethod.none,NormalizationMethod.none,0.858108108108108,0.033783783783784,0.998873873873874,0.001950507666181,80,NormalizationMethod.cmvn
True,Delta.sdc,3,-1000,128,40,NormalizationMethod.none,NormalizationMethod.none,0.878378378378378,0.021366740947084,1,0,80,NormalizationMethod.cmvn
